urlKey,condition,gender,brand,primaryTitle,retailPrice,releaseDate,days_since_release,gender_men,gender_women,gender_infant,gender_preschool,gender_toddler,gender_unisex,brand_ASICS,brand_Nike,brand_Jordan,brand_New Balance,brand_adidas,averagePrice_Dead_Stock,averagePrice_Annual_Statistics,salesCount_Annual,color1,condition_New,thumbUrl,size,lastSale
nike-air-force-1-low-white-black-gs,New,child,Nike,Nike Air Force 1 Low,80.0,2021-01-14,1195.0,False,False,False,False,False,False,False,True,False,False,False,67,67,409,White,True,https://images.stockx.com/images/Nike-Air-Force-1-Low-White-Black-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1629741240,7.0,46.0
adidas-d-rose-11-signal-green,New,men,adidas,adidas D Rose 11,120.0,2020-12-05,1235.0,True,False,False,False,False,False,False,False,False,False,True,100,100,9,Signal Green,True,https://images.stockx.com/images/adidas-D-Rose-11-Signal-Green-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1707932596,15.0,139.0
nike-air-force-1-low-skeleton-halloween-2018,New,men,Nike,Nike Air Force 1 Low,130.0,2018-10-31,2001.0,True,False,False,False,False,False,False,True,False,False,False,347,347,40,White,True,https://images.stockx.com/images/Nike-Air-Force-1-Low-Skeleton-Halloween-2018-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1608515455,9.0,422.0
nike-air-max-uptempo-97-urban-haze,New,men,Nike,Nike Air Max Uptempo 97,160.0,2016-12-20,2681.0,True,False,False,False,False,False,False,True,False,False,False,387,387,2,Urban Haze,True,https://images.stockx.com/images/Nike-Air-Max-Uptempo-97-Urban-Haze-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1611844377,8.5,296.0
adidas-campus-80s-youth-of-paris,New,men,adidas,adidas Campus 80s,120.0,2023-05-02,357.0,True,False,False,False,False,False,False,False,False,False,True,96,96,106,Core Black,True,https://images.stockx.com/images/adidas-Campus-80s-Youth-of-Paris-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1644398685,10.5,68.0
adidas-harden-vol-7-year-of-the-dragon-2024,New,men,adidas,adidas Harden Vol. 7,160.0,2023-12-29,116.0,True,False,False,False,False,False,False,False,False,False,True,196,196,34,Off-White,True,https://images.stockx.com/images/adidas-Harden-Vol-7-Year-of-the-Dragon-2024.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1704212971,8.5,165.0
nike-air-max-terrascape-plus-black-barely-volt,New,men,Nike,Nike Air Max Terrascape Plus,170.0,2021-11-01,904.0,True,False,False,False,False,False,False,True,False,False,False,146,146,765,Black,True,https://images.stockx.com/images/Nike-Air-Max-Terrascape-Plus-Black-Barely-Volt-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1642074520,15.0,88.0
adidas-nmd-r1-grey-three-w,New,women,adidas,adidas NMD R1,170.0,2017-08-18,2440.0,False,True,False,False,False,False,False,False,False,False,True,170,170,1,Grey Three,True,https://images.stockx.com/images/Adidas-NMD-R1-Grey-Three-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1615420998,7.0,198.0
nike-blazer-mid-premium-vintage-gym-red-gym-red-sail,New,men,Nike,Nike Blazer Mid Premium Vintage,105.0,2015-11-13,3084.0,True,False,False,False,False,False,False,True,False,False,False,0,0,0,Gym Red,True,https://images.stockx.com/images/Nike-Blazer-Mid-Premium-Vintage-Gym-Red-Gym-Red-Sail.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1623202834,9.0,85.0
air-jordan-1-low-black-white-grey-gs,New,child,Jordan,Jordan 1 Low,75.0,2021-07-26,1002.0,False,False,False,False,False,False,False,False,True,False,False,165,165,357,Black,True,https://images.stockx.com/images/Air-Jordan-1-Low-Black-White-Grey-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1624989727,4.5,163.0
adidas-samba-jonah-hill-craft-ochre,New,men,adidas,adidas Samba,110.0,2020-11-13,1257.0,True,False,False,False,False,False,False,False,False,False,True,168,168,50,Craft Ochre,True,https://images.stockx.com/images/adidas-Samba-Jonah-Hill-Craft-Ochre-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1609348018,9.0,177.0
nike-dunk-low-michigan,New,men,Nike,Nike Dunk Low,100.0,2021-06-03,1055.0,True,False,False,False,False,False,False,True,False,False,False,226,226,1076,Varsity Maize,True,https://images.stockx.com/images/Nike-Dunk-Low-Michigan-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1619204735,11.5,202.0
nike-dunk-high-next-nature-toasty-rattan,New,men,Nike,Nike Dunk High,130.0,2021-11-05,900.0,True,False,False,False,False,False,False,True,False,False,False,88,88,778,Rattan,True,https://images.stockx.com/images/Nike-Dunk-High-Next-Nature-Toasty-Rattan-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1646233587,12.0,121.0
